year,tourney,round,opponent,avg speed,1st: avg,1st: stdev,1st: t avg,1st: wide avg,1st: max,1st: min,2nd: avg,2nd: stdev,2nd: t avg,2nd: wide avg,2nd: max,2nd: min,surface_clay,surface_grass,surface_hard,result_W
2023,US Open,R64,Mmoh,115.6,119.8,8.6,122.4,119.2,134.0,68.0,105.1,5.1,104.8,103.8,114.0,93.0,False,False,True,False
2023,US Open,R128,Diaz,117.1,120.3,5.4,123.0,118.9,132.0,108.0,111.3,5.7,114.6,109.0,122.0,93.0,False,False,True,True
2022,US Open,R128,Delbonis,118.8,123.0,3.8,,,129.0,117.0,104.0,3.0,,,107.0,101.0,False,False,True,True
2022,Wimbledon,R32,Sinner,118.3,122.1,7.3,126.5,119.5,136.0,95.0,109.9,6.0,115.0,105.6,123.0,97.0,False,True,False,False
2022,Wimbledon,R64,Murray,124.8,127.9,6.1,130.0,125.0,138.0,114.0,115.7,4.3,118.3,115.2,122.0,103.0,False,True,False,True
2022,Wimbledon,R128,Couacaud,124.4,125.7,6.4,127.5,123.3,136.0,106.0,120.1,4.3,121.8,120.9,129.0,111.0,False,True,False,True
2021,US Open,R128,Nakashima,119.9,122.7,7.3,127.5,122.4,142.0,107.0,113.6,7.2,115.3,110.5,131.0,95.0,False,False,True,False
2021,Wimbledon,R128,Nishioka,120.0,123.5,6.6,125.6,120.5,134.0,109.0,114.0,6.1,118.3,111.8,124.0,94.0,False,True,False,False
2020,US Open,R128,Johnson,118.6,121.5,9.7,125.5,113.8,137.0,77.0,106.7,8.1,118.0,102.8,121.0,93.0,False,False,True,False
2019,US Open,R32,Cilic,119.7,122.9,7.4,125.2,121.1,137.0,106.0,110.8,8.6,104.0,110.0,131.0,89.0,False,False,True,False
2019,US Open,R64,Struff,116.8,120.4,14.8,125.8,120.0,137.0,83.0,107.6,10.3,118.3,102.8,120.0,84.0,False,False,True,True
2019,US Open,R128,Garcia,123.3,126.7,7.0,128.3,124.7,140.0,109.0,110.5,4.6,109.7,107.0,117.0,102.0,False,False,True,True
2019,Wimbledon,R64,Kukushkin,120.9,123.5,6.3,125.0,120.6,137.0,107.0,112.1,8.2,117.8,104.3,134.0,92.0,False,True,False,False
2019,Wimbledon,R128,Ruud,124.5,127.6,5.3,129.7,125.3,137.0,118.0,113.5,7.2,,110.4,124.0,93.0,False,True,False,True
2018,US Open,QF,del,119.7,124.5,7.6,127.3,120.5,139.0,109.0,111.9,7.4,122.0,103.8,124.0,95.0,False,False,True,False
2018,US Open,R16,Raonic,119.1,125.0,7.8,127.0,122.7,141.0,108.0,110.6,5.2,118.0,106.7,122.0,101.0,False,False,True,True
2018,US Open,R32,Lajovic,117.8,121.1,7.7,124.2,117.6,139.0,99.0,106.1,6.9,113.0,108.3,130.0,95.0,False,False,True,True
2018,US Open,R64,Jarry,120.0,123.9,7.7,126.7,120.9,138.0,105.0,108.9,5.8,111.6,103.9,122.0,96.0,False,False,True,True
2018,US Open,R128,Klahn,121.2,126.5,7.3,127.5,125.2,139.0,111.0,104.7,6.1,111.5,105.7,121.0,95.0,False,False,True,True
2018,Wimbledon,SF,Anderson,123.0,125.0,8.1,128.9,121.3,142.0,104.0,116.7,6.6,120.3,108.6,129.0,96.0,False,True,False,False
2018,Wimbledon,QF,Raonic,122.4,124.4,6.1,126.8,121.3,137.0,111.0,116.6,5.1,119.0,111.0,126.0,105.0,False,True,False,True
2018,Wimbledon,R16,Tsitsipas,123.4,126.2,4.9,127.2,123.9,139.0,116.0,112.5,4.3,117.0,108.5,123.0,105.0,False,True,False,True
2018,Wimbledon,R32,Albot,125.6,127.4,6.8,129.0,126.0,141.0,102.0,113.6,8.2,118.3,102.0,123.0,102.0,False,True,False,True
2018,Wimbledon,R64,Bemelmans,124.4,127.0,6.4,127.6,125.0,144.0,113.0,114.4,5.5,115.7,110.7,125.0,99.0,False,True,False,True
2018,Wimbledon,R128,Maden,121.7,125.6,7.1,129.0,120.2,139.0,111.0,110.8,5.7,114.0,107.6,118.0,99.0,False,True,False,True
2017,US Open,R32,Zverev,119.5,124.0,6.9,127.0,120.4,137.0,109.0,108.2,3.8,112.3,109.3,118.0,100.0,False,False,True,False
2017,US Open,R64,Chung,120.5,124.9,6.8,127.2,122.9,139.0,108.0,107.1,3.7,107.0,104.8,113.0,100.0,False,False,True,True
2017,US Open,R128,Herbert,120.3,125.1,6.9,128.5,121.6,139.0,108.0,107.7,3.4,109.0,107.8,113.0,99.0,False,False,True,True
2017,Wimbledon,R64,Sela,117.8,121.1,5.0,122.2,119.2,135.0,107.0,109.2,7.3,114.0,104.4,122.0,95.0,False,True,False,False
2017,Roland Garros,R32,Khachanov,115.7,121.4,8.4,,,136.0,85.0,103.6,5.8,,,118.0,85.0,True,False,False,False
2017,Roland Garros,R64,Lorenzi,112.6,117.7,9.6,,,133.0,90.0,97.2,10.1,,,109.0,66.0,True,False,False,True
2017,Roland Garros,R128,Thompson,119.6,124.9,8.4,,,137.0,100.0,108.7,5.4,,,119.0,96.0,True,False,False,True
2017,Australian Open,R64,Zverev,113.5,118.9,11.4,122.8,116.8,139.0,61.0,99.7,11.0,111.0,99.1,121.0,69.0,False,False,True,False
2016,US Open,R32,Edmund,118.7,124.7,7.0,126.7,123.3,137.0,105.0,106.3,5.3,114.0,106.5,118.0,97.0,False,False,True,False
2016,US Open,R64,Darcis,123.2,129.7,7.2,131.9,129.7,142.0,101.0,113.4,5.2,119.0,108.4,123.0,102.0,False,False,True,True
2016,US Open,R128,Tiafoe,120.3,126.9,7.8,129.9,123.9,139.0,87.0,109.1,6.2,113.0,106.7,124.0,96.0,False,False,True,True
2016,Wimbledon,R32,Tsonga,123.7,126.9,5.5,128.6,125.1,139.0,108.0,113.7,5.4,119.8,107.4,123.0,102.0,False,True,False,False
2016,Wimbledon,R64,Barton,123.8,127.3,7.0,129.0,125.0,142.0,109.0,113.2,7.3,120.7,112.0,126.0,92.0,False,True,False,True
2016,Roland Garros,R16,Murray,119.8,123.0,6.0,125.1,120.8,138.0,105.0,111.8,5.4,117.5,108.0,123.0,103.0,True,False,False,False
2016,Roland Garros,R32,Gabashvili,118.9,122.5,9.3,,,141.0,88.0,110.9,6.1,,,123.0,99.0,True,False,False,True
2016,Roland Garros,R64,Edmund,117.6,123.0,7.6,,,136.0,100.0,107.1,5.8,,,118.0,98.0,True,False,False,True
2016,Roland Garros,R128,Millman,120.5,124.7,7.4,,,138.0,94.0,107.5,8.8,,,121.0,87.0,True,False,False,True
